A28102_at	GABRA3
AB000114_at	OMD
AB000115_at	IFI44L
AB000220_at	SEMA3C
AB000409_at	MKNK1
AB000462_at	SH3BP2
AB000905_at	HIST1H4I
AB001106_at	GMFB
AB001325_at	AQP3
AB002314_at	FRMPD4
AB002315_at	KIAA0317
AB002318_at	TLN2
AB002382_at	CTNND1
AB002409_at	CCL21
AB003102_at	PSMD11
AB003177_at	PSMD9
AB006782_at	LGALS9
AC000062_at	FRY
AC000064_cds1_at	GATAD1
AC000064_cds2_at	PEX1
AC000066_at	AKAP9
AC000099_at	GRM8
AC000115_cds1_at	VGLL1
AC002045_xpt1_at	No result found
AC002045_xpt2_s_at	LOC729602
AC002115_cds1_at	COX6B1
AC002115_rna2_at	RBM42
AD000092_cds7_s_at	RAD23A
AD001527_cds1_at	No result found
AF000177_at	LSM1
AF000231_at	RAB11A
AF000234_at	P2RX4
AF000424_s_at	LST1
AF000430_at	DNM1L
AF000545_at	P2RY10
AF000560_at	ZNF787
AF000562_at	LOC100128792
AF001548_rna1_at	MYH11
AF001787_s_at	UCP3
AF005775_at	CFLAR
AF006084_at	ARPC1B
AF006087_at	ARPC4
AF006609_at	RGS3
AF007111_at	MDM4
AF007551_at	BET1
AF007875_at	DPM1
AF008445_at	PLSCR1
AF008937_at	STX16
AF009301_at	MARCH6
AF015913_at	PRMT5
AFFX-BioB-5_at	No result found
AFFX-HSAC07/X00351_3_st	Input not found
AFFX-HSAC07/X00351_5_at	ACTB
AFFX-HSAC07/X00351_5_st	Input not found
AFFX-HSAC07/X00351_M_at	ACTB
AFFX-HSAC07/X00351_M_st	Input not found
AFFX-HUMGAPDH/M33197_3_st	Input not found
AFFX-HUMGAPDH/M33197_5_at	No result found
AFFX-HUMGAPDH/M33197_M_at	No result found
AFFX-HUMISGF3A/M97935_3_at	No result found
AFFX-HUMISGF3A/M97935_5_at	No result found
AFFX-HUMISGF3A/M97935_MA_at	No result found
AFFX-HUMISGF3A/M97935_MB_at	No result found
AFFX-HUMRGE/M10098_3_at	No result found
AFFX-HUMRGE/M10098_5_at	No result found
AFFX-HUMRGE/M10098_M_at	No result found
AFFX-HUMTFRR/M11507_3_at	TFRC
AFFX-M27830_5_at	No result found
AFFX-M27830_M_at	No result found
AFFX-TrpnX-3_at	No result found
AFFX-TrpnX-M_at	No result found
AJ000480_at	TRIB1
AJ001421_at	No result found
D00003_s_at	CYP3A4
D00017_at	ANXA2
D00596_at	TYMS
D00632_at	No result found
D00654_at	ACTG2
D00749_s_at	CD7
D00760_at	PSMA2
D00761_at	PSMB1
D00762_at	PSMA3
D00763_at	PSMA4
D00860_at	PRPS1
D10040_at	ACSL1
D10495_at	PRKCD
D10511_at	ACAT1
D10522_at	MARCKS
D10656_at	CRK
D10667_s_at	MYH11
D10923_at	NIACR2
D10925_at	CCR1
D10995_at	HTR1B
D11086_at	IL2RG
D11094_at	PSMC2
D11327_s_at	PTPN7
D11428_at	PMP22
D12620_s_at	CYP4F3
D12775_s_at	AMPD3
D13118_at	ATP5G1
D13146_cds1_at	CNP
D13315_at	GLO1
D13370_at	APEX1
D13413_rna1_s_at	SLC36A2
D13626_at	P2RY14
D13627_at	CCT8
D13630_at	No result found
D13631_s_at	ARHGEF6
D13633_at	DLGAP5
D13634_at	MTFR1
D13635_at	UBE3C
D13637_at	TLR1
D13639_at	CCND2
D13641_at	TOMM20
D13644_at	USP6NL
D13666_s_at	POSTN
D13720_s_at	ITK
D13748_at	EIF4A1
D13900_at	ECHS1
D13988_at	GDI2
D14043_at	CD164
D14657_at	KIAA0101
D14658_at	SPCS2
D14659_at	TTC35
D14660_at	MRPL19
D14661_at	WTAP
D14662_at	PRDX6
D14663_at	PSMD6
D14694_at	PTDSS1
D14695_at	HERPUD1
D14710_at	ATP5A1
D14812_at	MORF4L2
D14826_s_at	CREM
D14874_at	ADM
D14878_at	CDC123
D14889_at	RAB33A
D15050_at	SIK1
D15057_at	DAD1
D16217_at	CAST
D16294_at	MYO5B
D16350_at	ACSM3
D16469_at	ATP6AP1
D16480_at	HADHA
D16481_at	HADHB
D16532_at	VLDLR
D16562_at	ATP5C1
D16581_at	NUDT1
D17400_at	PTS
D17408_s_at	CNN1
D17427_at	DSC3
D17793_at	AKR1C3
D21063_at	MCM2
D21089_at	XPC
D21090_at	RAD23B
D21235_at	RAD23A
D21260_at	CLTC
D21262_at	NOLC1
D21267_at	SNAP25
D21337_at	COL4A6
D21851_at	LARS2
D21852_at	R3HDM1
D21853_at	EIF4A3
